male,height33,gwage33
1,66.929131,12.428572
1,70.078743,7.0270271
1,70.078743,5.1219511
1,68.897636,8.333333
1,66.141731,11.333333
1,68.110237,6.8648648
1,66.929131,4.130435
1,68.897636,9.1052628
1,71.653542,10.285714
1,72.047241,8.125
1,68.110237,8.75
1,70.866142,5.8461537
1,69.291336,6.2711864
1,65.748032,5.4000001
1,67.716537,4.8717947
1,59.448818,15.555555
1,73.228348,4.8979592
1,68.503937,7.6923075
1,71.259842,12.631579
1,70.866142,4.7916665
1,72.834648,6.6666665
1,70.866142,6
1,72.047241,8.75
1,72.834648,9.090909
1,69.291336,5.980392
1,68.503937,4.1025643
1,70.472443,14
1,73.228348,2500
1,71.259842,6.4864864
1,73.228348,5.4000001
1,69.291336,13.2
1,70.472443,14.4
1,66.535431,6.0189476
1,73.622047,11.666667
1,69.685036,7.5
1,67.716537,7.2820511
1,66.929131,4.7435899
1,71.259842,5.5285716
1,70.078743,11.333333
1,70.472443,7.5
1,71.259842,9.4285717
1,65.354332,4.3103447
1,43.307087,6.4000001
1,69.685036,6.5813951
1,69.685036,7.3684211
1,70.866142,12.837838
1,71.259842,8.6400003
1,69.291336,9.2333336
1,68.897636,7.1111112
1,69.291336,6.0334883
1,74.015747,9.7297297
1,70.472443,6
1,66.929131,7.3333335
1,64.960632,10.755
1,71.259842,6.3888888
1,66.929131,6.4102564
1,69.291336,6.25
1,72.834648,4.5
1,68.110237,5.5555553
1,66.535431,4.818182
1,70.472443,5.7567568
1,64.960632,1.4864864
1,68.110237,6.3200002
1,70.078743,11.621622
1,68.503937,9.5
1,64.566933,4.9846153
1,69.685036,5.04
1,65.354332,8.5297298
1,66.929131,4.1025643
1,61.811024,4.0999999
1,66.535431,4.25
1,66.535431,8.5714283
1,71.259842,5.5263157
1,66.141731,20
1,67.322838,11.314285
1,65.748032,6.7674417
1,68.897636,6.6071429
1,70.472443,7.4324327
1,72.834648,5.1282053
1,70.866142,4.181818
1,74.803146,4.8717947
1,68.897636,17.5
1,70.866142,9.7368422
1,70.866142,12
1,71.653542,8.3999996
1,65.748032,7.1944447
1,64.566933,7.311111
1,70.472443,8
1,69.291336,3
1,67.716537,9.375
1,70.078743,4.0740743
1,67.716537,7.6111112
1,67.716537,4.9729729
1,66.929131,5.5323076
1,68.503937,5.3333335
1,68.503937,11.2
1,64.566933,6.5
1,69.291336,8.0555553
1,70.472443,9.25
1,64.960632,5.1827025
1,71.653542,6.551724
1,70.472443,2.6666667
1,27.952755,4.810811
1,70.866142,7
1,66.929131,5.652174
1,72.440948,5
1,70.078743,7.8857141
1,69.291336,8.0540543
1,67.322838,8.333333
1,74.409447,14
1,69.685036,6.810811
1,74.015747,6.9499998
1,67.716537,6.818182
1,72.834648,5.7951221
1,63.385826,3.9189188
1,70.472443,7.7837839
1,68.897636,7.2558141
1,68.897636,5.3333335
1,67.716537,6
1,71.259842,9.7263155
1,68.503937,4.2222223
1,70.866142,120
1,68.110237,3.8974359
1,64.960632,5.818182
1,75.590553,8.8205128
1,73.622047,7.2368422
1,70.078743,5.3513513
1,68.897636,6.1538463
1,64.566933,8.8031998
1,64.960632,5.52
1,71.653542,60
1,67.322838,2.3809524
1,63.385826,6.9000001
1,69.685036,7.5
1,70.472443,12.5
1,64.173225,3.6923077
1,70.078743,5.340909
1,70.866142,2.7272727
1,70.472443,8.9473686
1,68.503937,7.1999998
1,71.653542,6.7718916
1,65.748032,4.2391305
1,70.866142,20
1,72.047241,8.0952377
1,75.984253,8.3999996
1,65.748032,5.0042553
1,64.960632,6
1,71.653542,5.3837838
1,66.141731,5.3333335
1,70.472443,4.3589745
1,71.259842,6
1,75.984253,4.4000001
1,72.047241,7.8545456
1,68.110237,8
1,67.322838,11.944445
1,75.196854,11.472
1,64.173225,4.304348
1,64.960632,7.5
1,71.259842,6.2857141
1,67.716537,8.666667
1,66.141731,5.3333335
1,68.897636,5.4761906
1,68.110237,8.0357141
1,67.322838,5.4054055
1,66.929131,5.319149
1,73.622047,5.25
1,68.110237,7.1351352
1,74.803146,5.8378377
1,72.047241,8.7647057
1,68.897636,6.6666665
1,68.110237,6.7666669
1,72.440948,6.025641
1,67.716537,9.0545454
1,64.960632,5.25
1,66.929131,4.7948718
1,71.653542,10.285714
1,74.015747,8.6097565
1,65.354332,3.75
1,68.503937,4.182857
1,71.653542,6.6666665
1,68.110237,4.8974357
1,67.716537,6.9767442
1,69.685036,7.1288891
1,66.141731,4.2315788
1,70.472443,6.0444446
1,68.897636,11.142858
1,66.929131,3.3428571
1,71.653542,6
1,70.866142,9.7297297
1,68.503937,5.8717947
1,68.503937,5.9230771
1,69.685036,8.9931431
1,73.622047,7.0243902
1,69.685036,6
1,67.322838,5.0526314
1,67.716537,6.6666665
1,74.803146,5.6756759
1,70.472443,5.0181818
1,65.354332,6.7567568
1,74.015747,5.2127662
1,68.503937,4.1346154
1,72.047241,7.5
1,67.716537,11.111111
1,70.078743,6.5
1,73.228348,5.4545455
1,72.440948,157.71428
1,70.078743,5.189189
1,70.866142,8.8000002
1,69.291336,10
1,68.503937,5.9459457
1,73.228348,8.4252634
1,67.716537,4.7111111
1,67.716537,9.4736843
1,72.047241,8.6173334
1,68.897636,3.5526316
1,76.377953,11.04
1,73.228348,8.8888893
1,67.322838,14
1,69.685036,4
1,68.110237,9.6000004
1,67.716537,4.4000001
1,66.929131,8.2222223
1,70.472443,8.909091
1,68.110237,8.5
1,68.897636,7.6923075
1,71.653542,10.56
1,66.535431,8.2879992
1,69.685036,4.8000002
1,66.929131,8.9743586
1,68.897636,8.9473686
1,68.897636,6.4000001
1,69.685036,12.307693
1,68.897636,4.1538463
1,66.929131,5.1428571
1,70.472443,5.5999999
1,66.929131,6.8571429
1,71.653542,4.090909
1,64.960632,4.0571427
1,66.141731,7
1,71.653542,5.2999997
1,68.110237,6.6666665
1,70.472443,98.914284
1,70.078743,9.405405
1,68.897636,5
1,68.897636,2.6086957
1,69.685036,4.8285713
1,72.047241,6.5643244
1,69.685036,3.6821053
1,66.141731,6.8442855
1,70.078743,2.9027777
1,70.472443,12.162162
1,69.685036,4.5
1,66.535431,4.7272725
1,72.834648,6.9473686
1,66.929131,6.9302325
1,72.440948,4
1,68.503937,6.6666665
1,66.535431,8.5714283
1,64.173225,8.1702127
1,70.078743,8.1081085
1,68.110237,8.5714283
1,68.110237,16
1,69.291336,12.222222
1,70.866142,9.090909
1,68.110237,6.4864864
1,67.716537,12.5
1,67.322838,13.5
1,67.322838,5.7032433
1,68.110237,6.9637837
1,66.141731,13.2
1,75.590553,14.285714
1,72.440948,11.675675
1,66.141731,6.9145947
1,71.653542,3.8461537
1,70.472443,6.5999999
1,65.748032,8.333333
1,69.291336,10.810811
1,68.110237,6.2162161
1,32.283466,18
1,72.834648,13.26
1,68.897636,15
1,66.141731,8.4324322
1,66.535431,10.5
1,64.960632,6.4795241
1,72.834648,7.7837839
1,70.866142,9.7297297
1,72.440948,10.937142
1,71.259842,3.111892
1,69.291336,10.25
1,72.047241,18.162163
1,72.834648,4.4736843
1,61.811024,6.9230771
1,69.291336,6.1904764
1,71.259842,4.3589745
1,70.866142,14.836364
1,71.259842,7.25
1,68.110237,9.333333
1,70.866142,6
1,68.503937,15.771428
1,68.897636,8
1,67.716537,6.6315789
1,70.078743,8.2857141
1,71.259842,8.75
1,70.078743,7.1428571
1,68.503937,3.3599999
1,68.897636,10.285714
1,66.929131,7.1351352
1,71.259842,9.7297297
1,70.078743,4.3023257
1,70.866142,13.028571
1,68.503937,17.5
1,66.535431,7.3846154
1,69.291336,10.285714
1,73.228348,7.3333335
1,71.259842,12.923077
1,65.748032,14.4
1,67.716537,4.6153846
1,70.078743,6.5
1,68.503937,10.066667
1,71.259842,9.8870268
1,68.110237,3.3170731
1,67.716537,5.4461536
1,63.385826,9.6000004
1,72.440948,9.6000004
1,69.291336,3.5714285
1,68.503937,5.2941175
1,69.685036,4.8936172
1,68.897636,12
1,70.866142,17.775999
1,68.897636,5
1,68.110237,6.8571429
1,70.078743,9.4594593
1,71.259842,9
1,75.196854,5.5609756
1,67.322838,6.2857141
1,71.653542,8.1599998
1,69.685036,12
1,70.472443,6.2399998
1,71.259842,6.3141818
1,69.685036,3.6410255
1,69.685036,8.7179489
1,72.834648,5.5076923
1,73.228348,6.8571429
1,66.535431,5.5
1,68.503937,96.521736
1,66.535431,5.6716418
1,73.228348,10.105263
1,68.897636,9.6000004
1,70.472443,6
1,66.141731,5.7051425
1,66.535431,7.7777777
1,67.716537,9.7222223
1,68.110237,2.8461537
1,73.228348,10.736842
1,71.259842,8.9189186
1,65.354332,11.111111
1,68.110237,5.5405407
1,65.748032,10.148572
1,65.354332,8.2051287
1,70.866142,10.9375
1,71.653542,5.5714288
